"var","ind","year","value"
"LABR","D01T03",2005,34668
"WAGE","D01T03",2005,28735000
"CAPN","D01T03",2005,431200
"GFCF","D01T03",2005,37300
"VKPY","D01T03",2005,149542.168770342
"PKPY","D01T03",2005,310313.629222708
"IKPY","D01T03",2005,161350.551843231
"GKPY","D01T03",2005,36006.2921441278
"CNPY","D01T03",2005,405644.720005068
"EMPN","D01T03",2005,2156000
"INTI","D01T03",2006,175200
"PROD","D01T03",2006,303500
"VALU","D01T03",2006,128300
"EMPE","D01T03",2006,1298000
"FTEE","D01T03",2006,1121000
"FTEN","D01T03",2006,2022000
"LABR","D01T03",2006,38033
"WAGE","D01T03",2006,30934000
"CAPN","D01T03",2006,457000
"GFCF","D01T03",2006,35800
"VKPY","D01T03",2006,133825.718830825
"PKPY","D01T03",2006,301292.451561763
"IKPY","D01T03",2006,167750.426745254
"GKPY","D01T03",2006,35015.8713072599
"CNPY","D01T03",2006,434260.762203677
"EMPN","D01T03",2006,2199000
"INTI","D01T03",2007,204900
"PROD","D01T03",2007,346900
"VALU","D01T03",2007,142000
"EMPE","D01T03",2007,1266000
"FTEE","D01T03",2007,1097000
"FTEN","D01T03",2007,1953000
"LABR","D01T03",2007,41498
"WAGE","D01T03",2007,33894000
"CAPN","D01T03",2007,472800
"GFCF","D01T03",2007,36300
"VKPY","D01T03",2007,110752.511387034
"PKPY","D01T03",2007,298085.656416499
"IKPY","D01T03",2007,188449.51496106
"GKPY","D01T03",2007,35126.4789569797
"CNPY","D01T03",2007,459221.239577314
"EMPN","D01T03",2007,2122000
"INTI","D01T03",2008,226000
"PROD","D01T03",2008,380500
"VALU","D01T03",2008,154500
"EMPE","D01T03",2008,1251000
"FTEE","D01T03",2008,1084000
"FTEN","D01T03",2008,1945000
"LABR","D01T03",2008,42180
"WAGE","D01T03",2008,34872000
"CAPN","D01T03",2008,492500
"GFCF","D01T03",2008,43500
"VKPY","D01T03",2008,151594.964462113
"PKPY","D01T03",2008,342230.639590402
"IKPY","D01T03",2008,191754.349226512
"GKPY","D01T03",2008,40662.316049169
"CNPY","D01T03",2008,480209.425417201
"EMPN","D01T03",2008,2112000
"INTI","D01T03",2009,204300
"PROD","D01T03",2009,341900
"VALU","D01T03",2009,137700
"EMPE","D01T03",2009,1241000
"FTEE","D01T03",2009,1071000
"FTEN","D01T03",2009,1907000
"LABR","D01T03",2009,42234
"WAGE","D01T03",2009,34194000
"CAPN","D01T03",2009,481900
"GFCF","D01T03",2009,42600
"VKPY","D01T03",2009,174341.845428181
"PKPY","D01T03",2009,391811.600918518
"IKPY","D01T03",2009,219111.145582874
"GKPY","D01T03",2009,42020.0537083905
"CNPY","D01T03",2009,497972.720194942
"EMPN","D01T03",2009,2077000
"INTI","D01T03",2010,212500
"PROD","D01T03",2010,372800
"VALU","D01T03",2010,160200
"EMPE","D01T03",2010,1274000
"FTEE","D01T03",2010,1102000
"FTEN","D01T03",2010,1923000
"LABR","D01T03",2010,41352
"WAGE","D01T03",2010,34215000
"CAPN","D01T03",2010,489600
"GFCF","D01T03",2010,44800
"VKPY","D01T03",2010,140251.581
"PKPY","D01T03",2010,346180.588
"IKPY","D01T03",2010,205967.088
"GKPY","D01T03",2010,45968.808
"CNPY","D01T03",2010,488738.161
"EMPN","D01T03",2010,2095000
"INTI","D01T03",2011,237400
"PROD","D01T03",2011,434700
"VALU","D01T03",2011,197200
"EMPE","D01T03",2011,1297000
"FTEE","D01T03",2011,1116000
"FTEN","D01T03",2011,1962000
"LABR","D01T03",2011,41035
"WAGE","D01T03",2011,34027000
"CAPN","D01T03",2011,509500
"GFCF","D01T03",2011,50400
"VKPY","D01T03",2011,153093.841123973
"PKPY","D01T03",2011,360465.626357998
"IKPY","D01T03",2011,207375.937351214
"GKPY","D01T03",2011,50445.876116692
"CNPY","D01T03",2011,499641.195436752
"EMPN","D01T03",2011,2143000
"INTI","D01T03",2012,261100
"PROD","D01T03",2012,456300
"VALU","D01T03",2012,195300
"EMPE","D01T03",2012,1331000
"FTEE","D01T03",2012,1145000
"FTEN","D01T03",2012,1921000
"LABR","D01T03",2012,47401
"WAGE","D01T03",2012,39196000
"CAPN","D01T03",2012,524900
"GFCF","D01T03",2012,48200
"VKPY","D01T03",2012,190518.276056917
"PKPY","D01T03",2012,436600.386100386
"IKPY","D01T03",2012,245852.632006912
"GKPY","D01T03",2012,45562.2935304139
"CNPY","D01T03",2012,515402.38069933
"EMPN","D01T03",2012,2107000
"INTI","D01T03",2013,251700
"PROD","D01T03",2013,478300
"VALU","D01T03",2013,226600
"EMPE","D01T03",2013,1350000
"FTEE","D01T03",2013,1161000
"FTEN","D01T03",2013,1950000
"LABR","D01T03",2013,50616
"WAGE","D01T03",2013,42568000
"CAPN","D01T03",2013,548800
"GFCF","D01T03",2013,49800
"VKPY","D01T03",2013,218799.468294395
"PKPY","D01T03",2013,470267.893826909
"IKPY","D01T03",2013,251254.422503141
"GKPY","D01T03",2013,50072.8159935909
"CNPY","D01T03",2013,530916.160767159
"EMPN","D01T03",2013,2139000
"INTI","D02",1997,17800
"PROD","D02",1997,38400
"VALU","D02",1997,20700
"CAPN","D02",1997,25600
"GFCF","D02",1997,1900
"INTI","D02",1998,21000
"PROD","D02",1998,41900
"VALU","D02",1998,20900
"EMPE","D02",1998,469000
"FTEE","D02",1998,439000
"FTEN","D02",1998,558000
"LABR","D02",1998,9709
"WAGE","D02",1998,8344000
"CAPN","D02",1998,25900
"GFCF","D02",1998,2300
"VKPY","D02",1998,20978.7025703794
"PKPY","D02",1998,42301.1282459457
"IKPY","D02",1998,21451.2478369785
"GKPY","D02",1998,2423.57074596661
"CNPY","D02",1998,25355.4066442009
"EMPN","D02",1998,588000
"INTI","D02",1999,23400
"PROD","D02",1999,45300
"VALU","D02",1999,21900
"EMPE","D02",1999,456000
"FTEE","D02",1999,424000
"FTEN","D02",1999,540000
"LABR","D02",1999,10666
"WAGE","D02",1999,8648000
"CAPN","D02",1999,26500
"GFCF","D02",1999,2500
"VKPY","D02",1999,22421.8666883787
"PKPY","D02",1999,46131.5893100677
"IKPY","D02",1999,23706.6294132588
"GKPY","D02",1999,2450.31950993786
"CNPY","D02",1999,25937.8146550038
"EMPN","D02",1999,572000
"INTI","D02",2000,16700
"PROD","D02",2000,39200
"VALU","D02",2000,22500
"EMPE","D02",2000,454000
"FTEE","D02",2000,418000
"FTEN","D02",2000,535000
"LABR","D02",2000,10556
"WAGE","D02",2000,8931000
"CAPN","D02",2000,27200
"GFCF","D02",2000,2600
"VKPY","D02",2000,22602.5019605859
"PKPY","D02",2000,39237.6044888149
"IKPY","D02",2000,16661.850424976
"GKPY","D02",2000,2620.68751551253
"CNPY","D02",2000,26612.1083529672
"EMPN","D02",2000,571000
"INTI","D02",2001,17000
"PROD","D02",2001,38900
"VALU","D02",2001,21900
"EMPE","D02",2001,423000
"FTEE","D02",2001,370000
"FTEN","D02",2001,464000
"LABR","D02",2001,10496
"WAGE","D02",2001,8442000
"CAPN","D02",2001,27600
"GFCF","D02",2001,2500
"VKPY","D02",2001,23322.3031105228
"PKPY","D02",2001,40604.4417505611
"IKPY","D02",2001,17282.7397189602
"GKPY","D02",2001,2622.00781342488
"CNPY","D02",2001,27148.172344066
"EMPN","D02",2001,517000
"INTI","D02",2002,17700
"PROD","D02",2002,39400
"VALU","D02",2002,21800
"EMPE","D02",2002,413000
"FTEE","D02",2002,361000
"FTEN","D02",2002,444000
"LABR","D02",2002,10867
"WAGE","D02",2002,8609000
"CAPN","D02",2002,28100
"GFCF","D02",2002,2600
"VKPY","D02",2002,22395.3497446084
"PKPY","D02",2002,40219.5241926636
"IKPY","D02",2002,17822.2560101696
"GKPY","D02",2002,3191.92541722917
"CNPY","D02",2002,27700.7207698601
"EMPN","D02",2002,496000
"INTI","D02",2003,18300
"PROD","D02",2003,41300
"VALU","D02",2003,23000
"EMPE","D02",2003,414000
"FTEE","D02",2003,362000
"FTEN","D02",2003,461000
"LABR","D02",2003,11173
"WAGE","D02",2003,8882000
"CAPN","D02",2003,29300
"GFCF","D02",2003,3200
"VKPY","D02",2003,22833.6782712252
"PKPY","D02",2003,40416.3403547868
"IKPY","D02",2003,17693.0563480742
"GKPY","D02",2003,3057.1126469191
"CNPY","D02",2003,28656.3132424109
"EMPN","D02",2003,513000
"INTI","D02",2004,21500
"PROD","D02",2004,45300
"VALU","D02",2004,23800
"EMPE","D02",2004,411000
"FTEE","D02",2004,359000
"FTEN","D02",2004,476000
"LABR","D02",2004,12775
"WAGE","D02",2004,9182000
"CAPN","D02",2004,32400
"GFCF","D02",2004,4200
"VKPY","D02",2004,23758.8806711557
"PKPY","D02",2004,43979.8946542643
"IKPY","D02",2004,20196.7694173891
"GKPY","D02",2004,4088.97693209957
"CNPY","D02",2004,30601.9413287317
"EMPN","D02",2004,528000
"INTI","D02",2005,22600
"PROD","D02",2005,46600
"VALU","D02",2005,24100
"EMPE","D02",2005,421000
"FTEE","D02",2005,369000
"FTEN","D02",2005,468000
"LABR","D02",2005,12635
"WAGE","D02",2005,9714000
"CAPN","D02",2005,36700
"GFCF","D02",2005,5800
"VKPY","D02",2005,23882.657433826
"PKPY","D02",2005,45303.3005197287
"IKPY","D02",2005,21421.8097572802
"GKPY","D02",2005,5744.66066948167
"CNPY","D02",2005,34878.1981193965
"EMPN","D02",2005,520000
"INTI","D02",2006,18700
"PROD","D02",2006,47700
"VALU","D02",2006,29000
"EMPE","D02",2006,546000
"FTEE","D02",2006,477000
"FTEN","D02",2006,572000
"LABR","D02",2006,16148
"WAGE","D02",2006,12170000
"CAPN","D02",2006,40500
"GFCF","D02",2006,5800
"VKPY","D02",2006,28409.8409013461
"PKPY","D02",2006,46585.6656008419
"IKPY","D02",2006,18291.7871627102
"GKPY","D02",2006,5605.03038663734
"CNPY","D02",2006,38714.5446337885
"EMPN","D02",2006,641000
"INTI","D02",2007,16000
"PROD","D02",2007,44500
"VALU","D02",2007,28500
"EMPE","D02",2007,516000
"FTEE","D02",2007,454000
"FTEN","D02",2007,550000
"LABR","D02",2007,16486
"WAGE","D02",2007,12754000
"CAPN","D02",2007,42400
"GFCF","D02",2007,4600
"VKPY","D02",2007,27395.9185885796
"PKPY","D02",2007,42359.40144295
"IKPY","D02",2007,14985.53685603
"GKPY","D02",2007,4353.27823946542
"CNPY","D02",2007,41044.1941074523
"EMPN","D02",2007,612000
"INTI","D02",2008,16300
"PROD","D02",2008,44400
"VALU","D02",2008,28200
"EMPE","D02",2008,519000
"FTEE","D02",2008,457000
"FTEN","D02",2008,551000
"LABR","D02",2008,16453
"WAGE","D02",2008,13095000
"CAPN","D02",2008,45800
"GFCF","D02",2008,5700
"VKPY","D02",2008,26928.0222617477
"PKPY","D02",2008,41599.607914653
"IKPY","D02",2008,14687.8095142814
"GKPY","D02",2008,5349.83910929259
"CNPY","D02",2008,43791.5507231078
"EMPN","D02",2008,613000
"INTI","D02",2009,12900
"PROD","D02",2009,40800
"VALU","D02",2009,27900
"EMPE","D02",2009,502000
"FTEE","D02",2009,437000
"FTEN","D02",2009,524000
"LABR","D02",2009,16618
"WAGE","D02",2009,12388000
"CAPN","D02",2009,46300
"GFCF","D02",2009,5500
"VKPY","D02",2009,28540.7768758982
"PKPY","D02",2009,43307.7778428045
"IKPY","D02",2009,14803.512882689
"GKPY","D02",2009,5038.5849531942
"CNPY","D02",2009,46811.5986467564
"EMPN","D02",2009,589000
"INTI","D02",2010,14000
"PROD","D02",2010,44500
"VALU","D02",2010,30500
"EMPE","D02",2010,519000
"FTEE","D02",2010,455000
"FTEN","D02",2010,540000
"LABR","D02",2010,17175
"WAGE","D02",2010,13462000
"CAPN","D02",2010,49400
"GFCF","D02",2010,7200
"VKPY","D02",2010,28811.214
"PKPY","D02",2010,41729.016
"IKPY","D02",2010,12922.188
"GKPY","D02",2010,7607.82
"CNPY","D02",2010,48769.179
"EMPN","D02",2010,604000
"INTI","D02",2011,16700
"PROD","D02",2011,47700
"VALU","D02",2011,31000
"EMPE","D02",2011,534000
"FTEE","D02",2011,462000
"FTEN","D02",2011,546000
"LABR","D02",2011,18190
"WAGE","D02",2011,14138000
"CAPN","D02",2011,53100
"GFCF","D02",2011,7000
"VKPY","D02",2011,30205.532314605
"PKPY","D02",2011,45522.4683946537
"IKPY","D02",2011,15285.2294054227
"GKPY","D02",2011,7137.64205777739
"CNPY","D02",2011,51263.2926053563
"EMPN","D02",2011,618000
"INTI","D02",2012,17200
"PROD","D02",2012,51000
"VALU","D02",2012,33900
"EMPE","D02",2012,551000
"FTEE","D02",2012,477000
"FTEN","D02",2012,555000
"LABR","D02",2012,19808
"WAGE","D02",2012,15131000
"CAPN","D02",2012,55100
"GFCF","D02",2012,6500
"VKPY","D02",2012,33875.1136708093
