"cou","var","ind","est","sou","value"
"CHL","VALU","CTOTAL","DET","SEC","INDSTAT32"
"CHL","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"CHL","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"CHL","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"CHL","PROD","CTOTAL","DET","SEC","INDSTAT32"
"CHL","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"CHL","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"CHL","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"CHL","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"CHL","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"CHL","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"CHL","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"CHL","LABR","CTOTAL","DET","SEC","INDSTAT32"
"CZE","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"CZE","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"CZE","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"CZE","VALU","CTOTAL","DET","SEC","INDSTAT32"
"CZE","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"CZE","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"CZE","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"CZE","PROD","CTOTAL","DET","SEC","INDSTAT32"
"CZE","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"CZE","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"CZE","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"CZE","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"CZE","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"CZE","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"CZE","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"CZE","LABR","CTOTAL","DET","SEC","INDSTAT32"
"DEU","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"DEU","VALU","CTOTAL","EXT","SEC","STANandBTDi4, UNSDSNA2013, UNDATA203CON"
