"cou","var","ind","est","sou","value"
"NOR","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"NOR","LABR","CTOTAL","DET","SEC","INDSTAT32"
"NZL","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"NZL","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"NZL","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"NZL","VALU","CTOTAL","DET","SEC","INDSTAT32"
"NZL","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"NZL","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"NZL","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"NZL","PROD","CTOTAL","DET","SEC","INDSTAT32"
"NZL","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"NZL","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"NZL","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"NZL","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"NZL","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"NZL","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"NZL","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"NZL","LABR","CTOTAL","DET","SEC","INDSTAT32"
"POL","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"POL","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"POL","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"POL","VALU","CTOTAL","DET","SEC","INDSTAT32"
"POL","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"POL","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"POL","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"POL","PROD","CTOTAL","DET","SEC","INDSTAT32"
"POL","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"POL","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"POL","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"POL","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"POL","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"POL","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"POL","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"POL","LABR","CTOTAL","DET","SEC","INDSTAT32"
"PRT","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"PRT","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"PRT","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"PRT","VALU","CTOTAL","DET","SEC","INDSTAT32"
"PRT","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"PRT","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"PRT","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"PRT","PROD","CTOTAL","DET","SEC","INDSTAT32"
"PRT","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"PRT","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"PRT","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"PRT","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"PRT","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"PRT","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"PRT","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"PRT","LABR","CTOTAL","DET","SEC","INDSTAT32"
"SVK","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"SVK","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"SVK","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"SVK","VALU","CTOTAL","DET","SEC","INDSTAT32"
"SVK","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"SVK","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"SVK","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"SVK","PROD","CTOTAL","DET","SEC","INDSTAT32"
"SVK","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"SVK","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"SVK","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"SVK","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"SVK","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"SVK","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"SVK","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"SVK","LABR","CTOTAL","DET","SEC","INDSTAT32"
"SVN","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"SVN","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"SVN","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"SVN","VALU","CTOTAL","DET","SEC","INDSTAT32"
"SVN","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"SVN","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"SVN","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"SVN","PROD","CTOTAL","DET","SEC","INDSTAT32"
"SVN","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"SVN","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"SVN","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"SVN","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"SVN","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"SVN","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"SVN","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"SVN","LABR","CTOTAL","DET","SEC","INDSTAT32"
"SWE","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"SWE","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"SWE","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"SWE","VALU","CTOTAL","DET","SEC","INDSTAT32"
"SWE","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"SWE","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"SWE","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"SWE","PROD","CTOTAL","DET","SEC","INDSTAT32"
"SWE","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"SWE","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"SWE","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"SWE","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"SWE","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"SWE","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"SWE","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"SWE","LABR","CTOTAL","DET","SEC","INDSTAT32"
"TUR","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"TUR","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"TUR","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"TUR","VALU","CTOTAL","DET","SEC","INDSTAT32"
"TUR","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"TUR","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"TUR","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"TUR","PROD","CTOTAL","DET","SEC","INDSTAT32"
"TUR","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"TUR","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"TUR","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"TUR","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"TUR","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"TUR","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"TUR","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"TUR","LABR","CTOTAL","DET","SEC","INDSTAT32"
"USA","VALU","CTOTAL","EXT","MAIN","STANandBTD"
"USA","VALU","CTOTAL","EXT","SEC","STANandBTDi4"
"USA","VALU","CTOTAL","DET","MAIN","PATCHEXT"
"USA","VALU","CTOTAL","DET","SEC","INDSTAT32"
"USA","PROD","CTOTAL","EXT","MAIN","STANandBTD"
"USA","PROD","CTOTAL","EXT","SEC","STANandBTDi4"
"USA","PROD","CTOTAL","DET","MAIN","PATCHEXT"
"USA","PROD","CTOTAL","DET","SEC","INDSTAT32"
"USA","EMPN","CTOTAL","EXT","MAIN","STANandBTD"
"USA","EMPN","CTOTAL","EXT","SEC","STANandBTDi4"
"USA","EMPN","CTOTAL","DET","MAIN","PATCHEXT"
"USA","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"USA","LABR","CTOTAL","EXT","MAIN","STANandBTD"
"USA","LABR","CTOTAL","EXT","SEC","STANandBTDi4"
"USA","LABR","CTOTAL","DET","MAIN","PATCHEXT"
"USA","LABR","CTOTAL","DET","SEC","INDSTAT32"
"ARG","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"ARG","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"ARG","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"ARG","VALU","CTOTAL","DET","SEC","INDSTAT32"
"ARG","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"ARG","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"ARG","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"ARG","PROD","CTOTAL","DET","SEC","INDSTAT32"
"ARG","EMPN","CTOTAL","EXT","MAIN",""
"ARG","EMPN","CTOTAL","EXT","SEC",""
"ARG","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"ARG","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"ARG","LABR","CTOTAL","EXT","MAIN",""
"ARG","LABR","CTOTAL","EXT","SEC",""
"ARG","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"ARG","LABR","CTOTAL","DET","SEC","INDSTAT32"
"BGR","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"BGR","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"BGR","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"BGR","VALU","CTOTAL","DET","SEC","INDSTAT32"
"BGR","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"BGR","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"BGR","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"BGR","PROD","CTOTAL","DET","SEC","INDSTAT32"
"BGR","EMPN","CTOTAL","EXT","MAIN",""
"BGR","EMPN","CTOTAL","EXT","SEC",""
"BGR","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"BGR","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"BGR","LABR","CTOTAL","EXT","MAIN",""
"BGR","LABR","CTOTAL","EXT","SEC",""
"BGR","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"BGR","LABR","CTOTAL","DET","SEC","INDSTAT32"
"BRA","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"BRA","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"BRA","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"BRA","VALU","CTOTAL","DET","SEC","INDSTAT32"
"BRA","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"BRA","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"BRA","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"BRA","PROD","CTOTAL","DET","SEC","INDSTAT32"
"BRA","EMPN","CTOTAL","EXT","MAIN",""
"BRA","EMPN","CTOTAL","EXT","SEC",""
"BRA","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"BRA","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"BRA","LABR","CTOTAL","EXT","MAIN",""
"BRA","LABR","CTOTAL","EXT","SEC",""
"BRA","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"BRA","LABR","CTOTAL","DET","SEC","INDSTAT32"
"BRN","VALU","CTOTAL","EXT","MAIN","NSONAPATCH"
"BRN","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"BRN","VALU","CTOTAL","DET","MAIN","NSONAPATCH"
"BRN","VALU","CTOTAL","DET","SEC","INDSTAT32"
"BRN","PROD","CTOTAL","EXT","MAIN","NSONAPATCH"
"BRN","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"BRN","PROD","CTOTAL","DET","MAIN","NSONAPATCH"
"BRN","PROD","CTOTAL","DET","SEC","INDSTAT32"
"BRN","EMPN","CTOTAL","EXT","MAIN",""
"BRN","EMPN","CTOTAL","EXT","SEC",""
"BRN","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"BRN","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"BRN","LABR","CTOTAL","EXT","MAIN",""
"BRN","LABR","CTOTAL","EXT","SEC",""
"BRN","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"BRN","LABR","CTOTAL","DET","SEC","INDSTAT32"
"CHN","VALU","CTOTAL","EXT","MAIN","UNSDSNA2013"
"CHN","VALU","CTOTAL","EXT","SEC",""
"CHN","VALU","CTOTAL","DET","MAIN","UNSDSNA2013"
"CHN","VALU","CTOTAL","DET","SEC","INDSTAT32"
"CHN","PROD","CTOTAL","EXT","MAIN","UNSDSNA2013"
"CHN","PROD","CTOTAL","EXT","SEC",""
"CHN","PROD","CTOTAL","DET","MAIN","UNSDSNA2013"
"CHN","PROD","CTOTAL","DET","SEC","INDSTAT32"
"CHN","EMPN","CTOTAL","EXT","MAIN",""
"CHN","EMPN","CTOTAL","EXT","SEC",""
"CHN","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"CHN","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"CHN","LABR","CTOTAL","EXT","MAIN",""
"CHN","LABR","CTOTAL","EXT","SEC",""
"CHN","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"CHN","LABR","CTOTAL","DET","SEC","INDSTAT32"
"COL","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"COL","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"COL","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"COL","VALU","CTOTAL","DET","SEC","INDSTAT32"
"COL","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"COL","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"COL","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"COL","PROD","CTOTAL","DET","SEC","INDSTAT32"
"COL","EMPN","CTOTAL","EXT","MAIN",""
"COL","EMPN","CTOTAL","EXT","SEC",""
"COL","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"COL","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"COL","LABR","CTOTAL","EXT","MAIN",""
"COL","LABR","CTOTAL","EXT","SEC",""
"COL","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"COL","LABR","CTOTAL","DET","SEC","INDSTAT32"
"CRI","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"CRI","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"CRI","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"CRI","VALU","CTOTAL","DET","SEC","INDSTAT32"
"CRI","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"CRI","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"CRI","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"CRI","PROD","CTOTAL","DET","SEC","INDSTAT32"
"CRI","EMPN","CTOTAL","EXT","MAIN",""
"CRI","EMPN","CTOTAL","EXT","SEC",""
"CRI","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"CRI","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"CRI","LABR","CTOTAL","EXT","MAIN",""
"CRI","LABR","CTOTAL","EXT","SEC",""
"CRI","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"CRI","LABR","CTOTAL","DET","SEC","INDSTAT32"
"CYP","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"CYP","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"CYP","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"CYP","VALU","CTOTAL","DET","SEC","INDSTAT32"
"CYP","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"CYP","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"CYP","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"CYP","PROD","CTOTAL","DET","SEC","INDSTAT32"
"CYP","EMPN","CTOTAL","EXT","MAIN",""
"CYP","EMPN","CTOTAL","EXT","SEC",""
"CYP","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"CYP","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"CYP","LABR","CTOTAL","EXT","MAIN",""
"CYP","LABR","CTOTAL","EXT","SEC",""
"CYP","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"CYP","LABR","CTOTAL","DET","SEC","INDSTAT32"
"HKG","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"HKG","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"HKG","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"HKG","VALU","CTOTAL","DET","SEC","INDSTAT32"
"HKG","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"HKG","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"HKG","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"HKG","PROD","CTOTAL","DET","SEC","INDSTAT32"
"HKG","EMPN","CTOTAL","EXT","MAIN",""
"HKG","EMPN","CTOTAL","EXT","SEC",""
"HKG","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"HKG","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"HKG","LABR","CTOTAL","EXT","MAIN",""
"HKG","LABR","CTOTAL","EXT","SEC",""
"HKG","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"HKG","LABR","CTOTAL","DET","SEC","INDSTAT32"
"HRV","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"HRV","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"HRV","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"HRV","VALU","CTOTAL","DET","SEC","INDSTAT32"
"HRV","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"HRV","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"HRV","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"HRV","PROD","CTOTAL","DET","SEC","INDSTAT32"
"HRV","EMPN","CTOTAL","EXT","MAIN",""
"HRV","EMPN","CTOTAL","EXT","SEC",""
"HRV","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"HRV","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"HRV","LABR","CTOTAL","EXT","MAIN",""
"HRV","LABR","CTOTAL","EXT","SEC",""
"HRV","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"HRV","LABR","CTOTAL","DET","SEC","INDSTAT32"
"IDN","VALU","CTOTAL","EXT","MAIN","UNSDSNA2013"
"IDN","VALU","CTOTAL","EXT","SEC",""
"IDN","VALU","CTOTAL","DET","MAIN","UNSDSNA2013"
"IDN","VALU","CTOTAL","DET","SEC","INDSTAT32"
"IDN","PROD","CTOTAL","EXT","MAIN","UNSDSNA2013"
"IDN","PROD","CTOTAL","EXT","SEC",""
"IDN","PROD","CTOTAL","DET","MAIN","UNSDSNA2013"
"IDN","PROD","CTOTAL","DET","SEC","INDSTAT32"
"IDN","EMPN","CTOTAL","EXT","MAIN",""
"IDN","EMPN","CTOTAL","EXT","SEC",""
"IDN","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"IDN","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"IDN","LABR","CTOTAL","EXT","MAIN",""
"IDN","LABR","CTOTAL","EXT","SEC",""
"IDN","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"IDN","LABR","CTOTAL","DET","SEC","INDSTAT32"
"IND","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"IND","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"IND","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"IND","VALU","CTOTAL","DET","SEC","INDSTAT32"
"IND","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"IND","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"IND","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"IND","PROD","CTOTAL","DET","SEC","INDSTAT32"
"IND","EMPN","CTOTAL","EXT","MAIN",""
"IND","EMPN","CTOTAL","EXT","SEC",""
"IND","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"IND","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"IND","LABR","CTOTAL","EXT","MAIN",""
"IND","LABR","CTOTAL","EXT","SEC",""
"IND","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"IND","LABR","CTOTAL","DET","SEC","INDSTAT32"
"KHM","VALU","CTOTAL","EXT","MAIN","UNSDSNA2013"
"KHM","VALU","CTOTAL","EXT","SEC",""
"KHM","VALU","CTOTAL","DET","MAIN","UNSDSNA2013"
"KHM","VALU","CTOTAL","DET","SEC","INDSTAT32"
"KHM","PROD","CTOTAL","EXT","MAIN","UNSDSNA2013"
"KHM","PROD","CTOTAL","EXT","SEC",""
"KHM","PROD","CTOTAL","DET","MAIN","UNSDSNA2013"
"KHM","PROD","CTOTAL","DET","SEC","INDSTAT32"
"KHM","EMPN","CTOTAL","EXT","MAIN",""
"KHM","EMPN","CTOTAL","EXT","SEC",""
"KHM","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"KHM","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"KHM","LABR","CTOTAL","EXT","MAIN",""
"KHM","LABR","CTOTAL","EXT","SEC",""
"KHM","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"KHM","LABR","CTOTAL","DET","SEC","INDSTAT32"
"LTU","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"LTU","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"LTU","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"LTU","VALU","CTOTAL","DET","SEC","INDSTAT32"
"LTU","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"LTU","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"LTU","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"LTU","PROD","CTOTAL","DET","SEC","INDSTAT32"
"LTU","EMPN","CTOTAL","EXT","MAIN",""
"LTU","EMPN","CTOTAL","EXT","SEC",""
"LTU","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"LTU","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"LTU","LABR","CTOTAL","EXT","MAIN",""
"LTU","LABR","CTOTAL","EXT","SEC",""
"LTU","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"LTU","LABR","CTOTAL","DET","SEC","INDSTAT32"
"LVA","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"LVA","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"LVA","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"LVA","VALU","CTOTAL","DET","SEC","INDSTAT32"
"LVA","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"LVA","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"LVA","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"LVA","PROD","CTOTAL","DET","SEC","INDSTAT32"
"LVA","EMPN","CTOTAL","EXT","MAIN",""
"LVA","EMPN","CTOTAL","EXT","SEC",""
"LVA","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"LVA","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"LVA","LABR","CTOTAL","EXT","MAIN",""
"LVA","LABR","CTOTAL","EXT","SEC",""
"LVA","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"LVA","LABR","CTOTAL","DET","SEC","INDSTAT32"
"MLT","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"MLT","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"MLT","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"MLT","VALU","CTOTAL","DET","SEC","INDSTAT32"
"MLT","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"MLT","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"MLT","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"MLT","PROD","CTOTAL","DET","SEC","INDSTAT32"
"MLT","EMPN","CTOTAL","EXT","MAIN",""
"MLT","EMPN","CTOTAL","EXT","SEC",""
"MLT","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"MLT","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"MLT","LABR","CTOTAL","EXT","MAIN",""
"MLT","LABR","CTOTAL","EXT","SEC",""
"MLT","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"MLT","LABR","CTOTAL","DET","SEC","INDSTAT32"
"MYS","VALU","CTOTAL","EXT","MAIN","NSONAPATCH"
"MYS","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"MYS","VALU","CTOTAL","DET","MAIN","NSONAPATCH"
"MYS","VALU","CTOTAL","DET","SEC","INDSTAT32"
"MYS","PROD","CTOTAL","EXT","MAIN","NSONAPATCH"
"MYS","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"MYS","PROD","CTOTAL","DET","MAIN","NSONAPATCH"
"MYS","PROD","CTOTAL","DET","SEC","INDSTAT32"
"MYS","EMPN","CTOTAL","EXT","MAIN",""
"MYS","EMPN","CTOTAL","EXT","SEC",""
"MYS","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"MYS","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"MYS","LABR","CTOTAL","EXT","MAIN",""
"MYS","LABR","CTOTAL","EXT","SEC",""
"MYS","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"MYS","LABR","CTOTAL","DET","SEC","INDSTAT32"
"PHL","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"PHL","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"PHL","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"PHL","VALU","CTOTAL","DET","SEC","INDSTAT32"
"PHL","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"PHL","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"PHL","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"PHL","PROD","CTOTAL","DET","SEC","INDSTAT32"
"PHL","EMPN","CTOTAL","EXT","MAIN",""
"PHL","EMPN","CTOTAL","EXT","SEC",""
"PHL","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"PHL","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"PHL","LABR","CTOTAL","EXT","MAIN",""
"PHL","LABR","CTOTAL","EXT","SEC",""
"PHL","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
"PHL","LABR","CTOTAL","DET","SEC","INDSTAT32"
"ROU","VALU","CTOTAL","EXT","MAIN","UNDATA203CON"
"ROU","VALU","CTOTAL","EXT","SEC","UNSDSNA2013"
"ROU","VALU","CTOTAL","DET","MAIN","UNDATA203CON"
"ROU","VALU","CTOTAL","DET","SEC","INDSTAT32"
"ROU","PROD","CTOTAL","EXT","MAIN","UNDATA203CON"
"ROU","PROD","CTOTAL","EXT","SEC","UNSDSNA2013"
"ROU","PROD","CTOTAL","DET","MAIN","UNDATA203CON"
"ROU","PROD","CTOTAL","DET","SEC","INDSTAT32"
"ROU","EMPN","CTOTAL","EXT","MAIN",""
"ROU","EMPN","CTOTAL","EXT","SEC",""
"ROU","EMPN","CTOTAL","DET","MAIN","UNDATA203CON"
"ROU","EMPN","CTOTAL","DET","SEC","INDSTAT32"
"ROU","LABR","CTOTAL","EXT","MAIN",""
"ROU","LABR","CTOTAL","EXT","SEC",""
"ROU","LABR","CTOTAL","DET","MAIN","UNDATA203CON"
